x,y
1,-8.757308416
20,7.474034182
56,36.86992268
-2,4.804114113
35,39.90152713
-12,0.951394436
9,5.142188414
35,28.62457601
7,-4.381209163
43,47.12748001
-4,-13.58502937
30,33.26435445
-5,-8.134248246
7,13.61556125
-7,-5.913751211
40,48.19806154
0,-8.897314813
-15,9.049741215
46,40.41274574
-3,-12.71023041
28,42.48494625
1,9.370822011
-4,4.351634881
38,46.34379094
24,43.29282505
7,-13.06992339
56,50.12896231
29,42.25838746
52,37.32774699
-14,-6.40759923
2,-6.849217352
-4,-11.18318246
26,22.88416947
38,31.45327211
38,45.22917363
-18,1.823427275
32,42.44207071
52,21.57765826
27,41.88136957
-6,-1.099953959
40,41.89718792
-1,-24.87151535
44,41.48531986
34,67.45117965
-3,-6.892179781
-15,1.078841308
-3,-14.24655589
-17,3.691639571
6,7.362052133
3,-16.84899962
50,20.1017776
35,49.11474485
-21,7.592043314
2,0.135485486
36,61.82275911
0,-6.129387355
1,-3.484589307
3,3.27245353
48,61.56219993
14,2.415068879
5,-4.370644157
-2,-14.29066898
-16,-10.44209878
-8,12.49469743
6,-9.070304175
34,43.02176825
-3,4.603492107
37,49.79141336
51,28.34568266
22,-9.396024431
26,35.88509048
-5,-9.828118948
-5,8.231244017
-5,8.168470717
7,-11.99439969
46,43.93158192
41,29.34753845
40,26.51488116
11,20.77712232
37,47.65695426
-1,12.1658059
13,-17.35391147
23,47.9102615
-1,5.07047502
10,-2.295177532
-8,0.186389495
20,40.24215341
-6,-2.749398079
-6,7.631836461
47,32.95544297
-12,6.355011682
0,-5.431980084
50,56.16939902
27,48.47863718
50,40.59714771
6,-1.044111434
28,51.14733893
22,54.47604053
53,37.32408078
17,47.57604988
20,41.16533316
55,39.30384341
7,-12.83904811
78,70.75573893
48,37.534027
-10,-2.413487496
38,38.29169592
29,26.87901468
40,44.80288382
8,7.596931199
1,-9.581683356
-17,3.426804033
1,0.282836348
11,-16.90616826
11,-2.524360365
41,61.32486729
-13,-12.32434514
-20,-0.795405869
45,45.4317318
28,47.46402154
39,33.05050876
28,39.78824226
-18,3.660932262
54,36.42183148
38,51.78239159
30,39.2484743
37,28.15588573
5,-3.743028837
-5,-11.99451199
41,47.1253894
2,-14.43216995
38,37.65931109
7,-16.09438896
18,0.03017434
46,29.38532363
30,43.9841642
-2,-4.022899216
42,46.92696057
48,40.88649791
41,36.62661589
38,50.03397557
43,50.31282197
-16,14.70713867
42,64.00918311
4,-14.29762662
-15,20.46713968
-29,0.333172781
-1,10.17264343
67,20.27135952
15,6.933906585
4,27.09001947
30,42.87631121
50,26.16377844
39,43.75896827
-5,-6.681717368
1,5.078095905
-3,-11.477416
-5,15.76166724
19,-14.47436112
-14,-11.93885977
17,14.14232411
11,34.71494364
48,37.4131041
-1,19.9027365
47,22.09996081
30,29.37558863
20,-5.507144119
-6,34.65227148
-12,-1.572651674
-17,-11.36261007
31,44.18415239
43,33.45719146
-9,-8.279323644
7,4.358672525
4,-18.84834387
1,0.22213928
46,45.58346902
56,26.19885704
35,47.86981465
4,-1.59517365
19,47.83786078
29,49.42506879
36,19.15729116
4,-8.282803927
7,-4.559469275
1,13.08346827
15,-10.92688865
-9,3.575077532
43,53.34730758
27,30.55679974
-3,0.556760149
22,-1.652095526
17,-7.221507701
-19,-1.34801312
0,-6.027593698
-13,-10.97171985
0,0.03957594
37,37.4772996
0,8.315330299
16,15.41605175
11,9.270532988
51,30.72751401
50,48.72663126
10,10.98875987
-4,-11.85983565
7,4.282328706
4,-10.94042931
10,-14.32190611
43,40.49037462
3,-7.524141777
41,39.17101475
43,38.67923285
58,36.63856372
47,49.88208848
16,41.621556
12,16.63536311
57,36.04434365
34,34.15110668
50,43.02547702
39,37.51988652
47,50.91815907
38,39.13944357
39,49.92941649
48,31.21731832
2,-10.70043331
12,-2.302846784
2,-3.390854333
20,34.35515342
42,7.90044618
55,29.83518888
12,-4.455882638
-1,2.550014443
18,42.63076689
50,35.04826045
18,-3.769033502
43,36.33503751
4,2.699872386
-2,-8.56062022
-5,-2.1606012
33,36.97715575
1,25.39432033
-4,6.491729273
35,25.74243719
-2,-4.50176435
48,47.9129498
-2,-8.424357383
27,53.55272562
48,53.5476914
12,9.522756261
34,36.00715365
45,31.57139448
9,-0.19397586
15,-1.799633176
35,45.36443937
36,39.66452973
27,49.29100113
40,38.29543532
26,42.38384645
5,-11.04523093
-22,-3.481706377
0,15.17536128
44,29.22173923
7,4.296764359
49,52.03320593
1,9.493608647
35,47.38953901
71,73.34203518
41,55.47729103
11,11.59968974
37,43.01982992
6,6.868900661
12,-17.33095624
-7,8.16454011
34,12.47962337
43,54.48001421
-5,10.29732685
58,41.39667578
29,48.71216014
17,5.130743788
3,-4.806321622
50,30.69030347
54,36.00608623
52,38.57464804
36,38.63370621
45,40.86524849
53,34.41304664
28,53.74859418
36,24.52007437
51,35.3515743
20,41.67136784
52,40.30877753
9,-9.833626436
40,33.68567748
20,-3.432976822
47,22.76806676
34,39.4736503
-11,-5.497461935
5,-0.163454028
49,52.53726134
34,41.65641786
